3615768,19175,1
3575155,21107,1
1100417,14157,1
1100417,13528,1
1693737,13187,1
3615765,15086,1
3615765,15085,1
3606577,20885,1
3615764,14846,1
3615761,11771,1
3615717,20321,1
1947304,11233,1
3615760,17154,1
3615760,19511,1
3615756,20297,1
3615753,2754,1
3615755,5254,1
919404,4680,1
508955,17869,1
3615751,8768,1
3615750,13312,1
3615748,19706,1
3615700,20885,1
3615747,13062,1
3615746,19827,1
3615745,15068,1
3615744,17495,1
508955,13949,1
3615743,14134,1
3615741,12084,1
3615737,1869,1
3615740,20488,1
1807371,14350,1
1807371,16371,1
177591,10028,1
508955,13685,1
932420,18447,1
3615739,14643,1
284504,2155,1
3615738,11245,1
3615736,4011,1
3615735,15320,1
282820,2155,1
3615734,2182,1
3615732,14453,1
3615726,15430,1
2291835,17804,1
3615729,16846,1
3615729,12551,1
3613333,15068,1
1789309,11233,1
3615727,13903,1
3615592,13845,1
3615725,12789,1
3615693,12478,1
953190,11275,1
3493378,12694,1
1185163,13372,1
2218396,13227,1
2218396,2155,1
3615720,5746,1
3608345,12472,1
3615716,20543,1
3615715,10788,1
3615715,12281,1
3615714,15813,1
2582491,2156,1
2582491,13886,1
3615712,4382,1
3602664,20885,1
3615708,14783,1
3615708,11094,1
3615709,20812,1
809725,5724,1
3615706,2433,1
3612626,20885,1
3612807,17387,1
3615705,2951,1
3615702,13880,1
2611506,4117,1
3613308,20885,1
3615701,11982,1
3615698,2433,1
2272426,11180,1
1973985,14274,1
1895576,2950,1
3615692,2963,1
3615687,15828,1
3615696,2555,1
3615694,13539,1
3615694,11300,1
1895576,2963,1
3615693,12476,1
3615692,2951,1
3615691,18951,1
718367,11245,1
508955,14433,1
2120041,20885,1
3615689,4570,1
3615688,11271,1
1895576,4570,1
3615674,20992,1
3615674,20990,1
3615674,19622,1
3615686,16580,1
508955,15533,1
3615684,13547,1
3615683,12476,1
508955,11348,1
3611317,20885,1
3615682,17824,1
3615681,11355,1
3615680,11241,1
3615679,13833,1
3615677,11245,1
3615671,12580,1
3615673,2997,1
3615670,13995,1
3615670,13528,1
1816431,20992,1
1816431,20990,1
1816431,19622,1
3615668,18819,1
197590,1604,1
3615667,4368,1
3615666,11891,1
